employee_id,name,department,role,job_level,hire_date,tenure_years,salary,performance_rating,manager_id,attrition_flag,exit_date
EMP1042,Glenn Dyer,Finance,Manager,L1,2021-04-29,5.26,1073121,Average,EMP1339,0,
EMP1043,Casey Warren,Sales,Senior Analyst,L2,2019-10-06,6.82,839086,Average,EMP1960,0,
EMP1044,David Rowe,Finance,Senior Manager,L2,2024-06-15,2.13,1011343,Low,EMP1051,1,2024-12-10
EMP1045,Sarah Sheppard,Engineering,Manager,L2,2020-08-20,5.95,718804,Low,EMP1706,1,2023-07-14
EMP1046,Rachel Holloway,Consulting,Manager,L3,2023-04-05,3.32,925976,Average,EMP1465,0,
EMP1047,Yvonne Kim,HR,Senior Analyst,L1,2023-08-27,2.93,853296,Average,EMP1717,0,
EMP1048,Diana Peters,Engineering,Senior Analyst,L5,2021-08-03,4.99,1250334,Average,EMP1798,0,
EMP1049,Jason Spencer,HR,Analyst,L5,2025-07-27,1.01,976326,Average,EMP1474,0,
EMP1050,Brooke Shepard,Operations,Senior Manager,L2,2023-04-12,3.3,1001280,High,EMP1400,0,
EMP1051,Martin Williams,Consulting,Analyst,L1,2025-05-22,1.19,776436,Average,EMP1438,0,
EMP1052,Christopher Johnson,Consulting,Manager,L1,2020-08-30,5.92,753718,Average,EMP1877,0,
EMP1053,Amanda Chavez,Engineering,Senior Analyst,L1,2025-09-26,0.84,770232,Low,EMP1604,0,
EMP1054,Richard Mosley,Consulting,Manager,L4,2023-07-14,3.05,1018335,High,EMP1931,0,
EMP1055,Dr. Maria Mathis,Finance,Manager,L4,2019-09-18,6.87,773704,Average,EMP1996,0,
EMP1056,Kristen Moore,Consulting,Consultant,L2,2025-05-19,1.2,986932,High,EMP1921,0,
EMP1057,Angel Arellano,HR,Consultant,L1,2022-11-11,3.72,1522620,Low,EMP1820,0,
EMP1058,Jessica Hampton,HR,Manager,L1,2025-01-06,1.56,1161337,Low,EMP1656,0,
EMP1059,Kristen Williams,HR,Senior Analyst,L5,2023-03-17,3.38,802192,Average,EMP1597,0,
EMP1060,Donna Mcintyre,HR,Manager,L5,2023-02-14,3.46,1260364,Average,EMP1508,0,
EMP1061,Jacob Fields,Finance,Consultant,L2,2019-10-05,6.82,777577,Average,EMP1152,0,
EMP1062,Jennifer Underwood,Sales,Senior Analyst,L1,2026-04-22,0.27,300000,High,EMP1513,0,
EMP1063,Roy White,Operations,Manager,L2,2019-07-04,7.08,597574,Average,EMP1502,0,
EMP1064,Mark Osborne,Engineering,Senior Manager,L5,2019-12-27,6.6,338762,Average,EMP1853,0,
EMP1065,David Lewis,HR,Senior Manager,L5,2020-05-11,6.22,794545,High,EMP1900,0,
EMP1066,Jonathan Ingram,Consulting,Manager,L4,2022-01-12,4.55,905525,Average,EMP1771,0,
EMP1067,Sarah Zamora,HR,Senior Analyst,L2,2022-09-22,3.86,1402931,High,EMP1675,0,
EMP1068,Sandra Moore,Consulting,Manager,L2,2026-05-22,0.19,998078,Low,EMP1005,0,
EMP1069,Jesse Rogers,Operations,Manager,L1,2020-06-12,6.14,834269,Average,EMP1499,0,
EMP1070,Jerry Zamora,Operations,Consultant,L1,2022-01-21,4.53,1148821,Low,EMP1660,0,
EMP1071,Jessica Lopez,Operations,Senior Manager,L4,2026-05-20,0.2,300000,Low,EMP1716,0,
EMP1072,Joshua Anderson,Consulting,Consultant,L3,2022-01-04,4.57,970684,High,EMP1117,0,
EMP1073,Holly Mccullough,HR,Consultant,L3,2026-05-14,0.21,1131259,Low,EMP1484,0,
EMP1074,Casey Owens,Operations,Manager,L3,2021-08-13,4.97,456424,Average,EMP1600,0,
EMP1075,Alyssa Taylor,Finance,Consultant,L2,2022-05-04,4.24,1243126,Average,EMP1665,0,
EMP1076,Christopher Hill,Consulting,Senior Manager,L2,2021-06-10,5.14,1001548,Average,EMP1950,0,
EMP1077,Paul Brooks,Consulting,Consultant,L5,2025-02-11,1.47,775413,High,EMP1678,0,
EMP1078,Noah Watson,HR,Senior Manager,L2,2020-03-15,6.38,1089834,Low,EMP1467,0,
EMP1079,Ross Wright,Consulting,Consultant,L2,2022-12-01,3.67,1581207,Average,EMP1160,0,
EMP1080,Nicholas Jimenez DVM,Consulting,Senior Manager,L2,2023-04-29,3.26,954559,High,EMP1269,0,
EMP1081,Mary Barnes,Operations,Consultant,L4,2019-09-02,6.92,974466,Average,EMP1055,0,
EMP1082,Sharon Hurst,HR,Consultant,L2,2023-02-01,3.5,762191,High,EMP1227,0,
EMP1083,Kristen Phillips,Operations,Senior Analyst,L1,2018-10-12,7.81,645046,Low,EMP1848,1,2025-08-19
EMP1084,Jerome Mcintosh,Operations,Senior Manager,L1,2018-10-17,7.79,1149100,Average,EMP1148,0,
EMP1085,Nicholas Mills,HR,Senior Manager,L5,2021-04-20,5.28,643174,Average,EMP1045,0,
EMP1086,Sarah Morrison,Engineering,Senior Manager,L4,2025-05-10,1.22,921469,Average,EMP1143,0,
EMP1087,Stephanie King,Operations,Analyst,L1,2023-08-27,2.93,756702,High,EMP1749,0,
EMP1088,Robert Washington,Finance,Consultant,L4,2020-04-04,6.33,1043693,Average,EMP1783,0,
EMP1089,Bonnie Preston,Finance,Senior Manager,L4,2024-09-20,1.86,1000098,Average,EMP1631,0,
EMP1090,Christy Miller,Consulting,Analyst,L5,2023-09-08,2.9,1211261,Average,EMP1339,0,
EMP1091,Daniel Moss,Finance,Senior Analyst,L4,2025-09-16,0.87,746995,Average,EMP1412,0,
EMP1092,Brenda Peck,Consulting,Senior Manager,L2,2021-12-21,4.61,819037,Average,EMP1731,0,
EMP1093,Jennifer Carpenter,Engineering,Senior Manager,L4,2023-02-15,3.46,606370,High,EMP1519,1,2024-07-26
EMP1094,Nicholas Rice,HR,Analyst,L5,2025-07-20,1.03,766712,Average,EMP1343,0,
EMP1095,Steve Miller,HR,Consultant,L5,2023-08-02,3.0,1013190,Average,EMP1386,1,2024-06-17
EMP1096,Michael Miles,HR,Senior Analyst,L5,2021-03-22,5.36,1127096,Low,EMP1472,1,2023-12-14
EMP1097,Patrick Riggs,Finance,Senior Manager,L1,2024-03-17,2.37,623350,Average,EMP1274,0,
EMP1098,Molly Wyatt,Engineering,Consultant,L2,2022-05-29,4.18,1160881,Average,EMP1352,0,
EMP1099,Barbara Mclean,Finance,Senior Analyst,L1,2020-04-27,6.26,1306691,Average,EMP1065,0,
EMP1100,William Walker,Finance,Manager,L3,2018-08-06,7.99,1024030,High,EMP1078,0,
EMP1101,Joseph Johnson,Engineering,Manager,L2,2025-05-04,1.24,1463038,Average,EMP1597,0,
EMP1102,Deborah Miller,Engineering,Senior Analyst,L4,2026-05-08,0.23,667863,Average,EMP1635,0,
EMP1103,Eric Garcia,Engineering,Analyst,L5,2023-05-25,3.19,526603,Low,EMP1201,0,
EMP1104,Timothy Trevino,Engineering,Senior Analyst,L3,2020-02-06,6.48,366383,High,EMP1977,0,
EMP1105,Lisa White,HR,Senior Analyst,L2,2024-10-01,1.83,1348813,Average,EMP1661,0,
EMP1106,Michael Kirk,Sales,Analyst,L1,2025-09-19,0.86,1096309,Low,EMP1557,0,
EMP1107,Tyler Moore,Sales,Analyst,L5,2019-06-01,7.17,883324,Average,EMP1112,0,
EMP1108,James Reynolds,Engineering,Consultant,L1,2022-05-18,4.21,983990,Average,EMP1090,0,
EMP1109,James Perkins,Sales,Consultant,L2,2025-03-04,1.41,562353,Low,EMP1140,0,
EMP1110,Anna Wilson,Sales,Analyst,L2,2023-07-14,3.05,1633725,Average,EMP1288,0,
EMP1111,Janet Williams,Engineering,Manager,L3,2025-04-29,1.25,938766,Average,EMP1900,0,
EMP1112,Marissa Frazier,Sales,Manager,L4,2024-10-17,1.79,932818,Average,EMP1729,0,
EMP1113,Alex Dickerson,Finance,Senior Analyst,L1,2020-03-13,6.39,1117729,High,EMP1588,0,
EMP1114,Elizabeth Soto,Consulting,Senior Manager,L3,2021-12-07,4.65,1044302,High,EMP1410,0,
EMP1115,Willie Lambert,Consulting,Senior Analyst,L5,2021-10-28,4.76,967165,Average,EMP1376,0,
EMP1116,Brad Cunningham,Engineering,Senior Analyst,L4,2026-02-24,0.43,662857,Average,EMP1383,0,
EMP1117,Michele Parker,HR,Senior Manager,L3,2023-04-17,3.29,1041440,Average,EMP1845,0,
EMP1118,Adrian Bolton,Engineering,Analyst,L1,2024-11-30,1.67,1464607,Average,EMP1151,0,
EMP1119,Steven Washington,HR,Manager,L2,2026-06-19,0.12,1303626,Average,EMP1834,1,2026-07-03
EMP1120,Joshua Perez,Consulting,Senior Analyst,L5,2022-05-26,4.18,1377955,Low,EMP1750,0,
EMP1121,Ashley Blackwell,Engineering,Senior Manager,L1,2024-07-02,2.08,746635,Average,EMP1626,0,
EMP1122,Terry Hernandez,Operations,Consultant,L4,2025-11-24,0.68,603118,High,EMP1318,0,
EMP1123,Amanda Ingram,Finance,Senior Analyst,L4,2024-11-30,1.67,862263,Average,EMP1368,0,
EMP1124,Elizabeth Barnes,Sales,Manager,L2,2022-06-11,4.14,916717,Low,EMP1605,1,2022-12-19
EMP1125,Sabrina Rich,HR,Analyst,L2,2019-09-19,6.87,1228257,High,EMP1994,0,
EMP1126,David Jackson,Operations,Senior Analyst,L5,2023-10-19,2.78,392260,Average,EMP1559,0,
EMP1127,Julie Burns,Sales,Senior Analyst,L5,2020-05-13,6.22,1358865,Average,EMP1702,1,2023-01-06
EMP1128,Eric Hodges,Sales,Senior Manager,L2,2024-11-08,1.73,852597,Average,EMP1461,0,
EMP1129,Stephanie Yang,Engineering,Consultant,L2,2022-11-15,3.71,771935,Average,EMP1011,0,
EMP1130,Andrew Mckinney,Sales,Consultant,L4,2025-01-15,1.54,596368,High,EMP1155,0,
EMP1131,James Dorsey,Finance,Analyst,L2,2020-10-10,5.81,403542,Average,EMP1683,0,
EMP1132,Thomas Price,Operations,Manager,L3,2018-11-29,7.67,1146951,Average,EMP1476,0,
EMP1133,Molly Thornton,Sales,Analyst,L1,2026-02-03,0.49,921995,High,EMP1938,0,
EMP1134,Tracy Clark,Engineering,Senior Analyst,L2,2022-11-02,3.75,513011,High,EMP1400,0,
EMP1135,Matthew Lucas,Finance,Senior Analyst,L5,2026-04-18,0.28,511476,High,EMP1807,0,
EMP1136,Maria Browning,Consulting,Consultant,L3,2023-01-01,3.58,799264,Average,EMP1176,0,
EMP1137,Alison Gutierrez,Operations,Manager,L5,2020-02-28,6.42,1400706,Average,EMP1340,0,
EMP1138,Jorge Stephens,Sales,Senior Manager,L3,2025-10-22,0.77,822122,High,EMP1056,0,
EMP1139,Gavin Wood,Engineering,Manager,L2,2025-12-24,0.6,449057,High,EMP1854,0,
EMP1140,Jeremy Johnson,Consulting,Senior Analyst,L1,2021-08-21,4.95,826277,Low,EMP1851,0,
EMP1141,Tracy Roach,Consulting,Senior Manager,L5,2024-01-17,2.54,818182,Low,EMP1447,0,
EMP1142,Connor Hawkins,HR,Manager,L3,2020-02-03,6.49,300000,Average,EMP1202,0,
EMP1143,Andre Allen,Finance,Manager,L4,2019-12-10,6.64,883711,High,EMP1696,0,
EMP1144,Heather Reyes,Sales,Senior Manager,L2,2023-10-05,2.82,830719,Average,EMP1632,0,
EMP1145,Heidi Henry,Engineering,Senior Analyst,L1,2021-10-29,4.76,1108861,Average,EMP1737,0,
EMP1146,Jon Williams,HR,Manager,L2,2019-08-03,7.0,1454686,Low,EMP1201,0,
EMP1147,Scott Torres,Finance,Senior Manager,L4,2019-03-14,7.39,1237969,Average,EMP1329,0,
EMP1148,Debra Hall,HR,Senior Analyst,L1,2020-12-24,5.6,819333,High,EMP1362,0,
EMP1149,Shannon Mcgrath,Operations,Senior Manager,L4,2023-03-29,3.34,568042,Average,EMP1891,0,
EMP1150,Kelsey Nelson,Finance,Senior Manager,L2,2019-05-08,7.24,1672007,High,EMP1453,0,
EMP1151,Peter Ortiz,Finance,Manager,L3,2024-08-06,1.98,917765,High,EMP1355,0,
EMP1152,Carol Wright,Sales,Senior Analyst,L2,2019-05-09,7.23,904178,Average,EMP1215,0,
EMP1153,Jennifer Turner,Finance,Manager,L2,2023-04-13,3.3,892762,Average,EMP1971,1,2026-01-18
EMP1154,Brian Howard,HR,Analyst,L2,2023-02-07,3.48,959425,Average,EMP1554,0,
EMP1155,Kimberly Curry,Finance,Analyst,L5,2020-05-11,6.22,856691,High,EMP1886,0,
EMP1156,Valerie Smith,Sales,Senior Analyst,L4,2022-03-14,4.38,727901,Average,EMP1022,0,
EMP1157,Teresa Neal,Sales,Senior Manager,L4,2019-02-16,7.46,735942,Average,EMP1154,0,
EMP1158,Tracy Small,Operations,Manager,L4,2026-06-09,0.14,890174,High,EMP1185,0,
EMP1159,Rachael Ryan,HR,Manager,L5,2024-09-09,1.89,736972,Average,EMP1248,0,
EMP1160,William Palmer,Consulting,Senior Analyst,L3,2024-11-14,1.71,686146,High,EMP1748,0,
EMP1161,Eric Stewart,Consulting,Senior Analyst,L2,2018-12-29,7.59,931929,Average,EMP1804,0,
EMP1162,Jacqueline Jacobs,Finance,Analyst,L3,2020-01-16,6.54,823506,Average,EMP1133,0,
EMP1163,Thomas Keith,Operations,Consultant,L5,2025-02-04,1.48,1351197,Average,EMP1320,0,
EMP1164,Andrea Ruiz,Engineering,Senior Analyst,L4,2024-07-12,2.05,300000,High,EMP1389,0,
EMP1165,Logan Gomez,Finance,Consultant,L2,2024-06-27,2.09,1227452,Average,EMP1433,0,
EMP1166,Michael Moore,Operations,Senior Analyst,L1,2026-06-28,0.09,1273825,High,EMP1021,1,2026-07-03
EMP1167,Wendy Brown DVM,HR,Senior Manager,L1,2024-09-26,1.84,300000,High,EMP1872,0,
EMP1168,Amanda Mcbride,HR,Senior Manager,L3,2020-12-02,5.66,797193,Average,EMP1599,0,
EMP1169,Tammy Lopez,HR,Analyst,L4,2020-11-28,5.67,788567,High,EMP1664,0,
EMP1170,Robert Moody,HR,Analyst,L1,2019-10-16,6.79,477746,Low,EMP1124,0,
EMP1171,Sierra Ramirez,HR,Consultant,L3,2022-12-15,3.63,666654,Average,EMP1078,0,
EMP1172,Krista Gomez,Operations,Senior Analyst,L5,2025-07-01,1.08,566827,Average,EMP1857,0,
EMP1173,David Hopkins,Operations,Manager,L3,2021-04-06,5.32,1425681,High,EMP1967,0,
EMP1174,Ethan Johnston,Sales,Analyst,L3,2020-10-18,5.79,1180703,Average,EMP1050,0,
EMP1175,Ronald Edwards,Consulting,Manager,L3,2026-01-05,0.57,1281466,Average,EMP1727,0,
EMP1176,Kevin Sullivan,HR,Manager,L2,2023-11-15,2.71,1116501,Average,EMP1175,1,2026-06-10
EMP1177,James Sims,Engineering,Senior Analyst,L3,2022-02-12,4.47,561284,Average,EMP1869,0,
EMP1178,Lisa Smith,Operations,Consultant,L3,2022-09-01,3.92,742643,Low,EMP1252,0,
EMP1179,John Rosales,Engineering,Senior Analyst,L2,2018-12-30,7.59,1046812,High,EMP1965,0,
EMP1180,Melissa Wood,Engineering,Analyst,L2,2020-01-21,6.53,533361,High,EMP1245,0,
EMP1181,Leslie Dixon,Engineering,Manager,L5,2023-12-10,2.64,1113899,Average,EMP1738,0,
EMP1182,Kevin Moran,Sales,Senior Analyst,L4,2021-08-04,4.99,827902,High,EMP1105,0,
EMP1183,Toni Jones,Operations,Senior Analyst,L1,2026-04-17,0.29,787553,Average,EMP1192,0,
EMP1184,Samuel Mcgrath,Engineering,Senior Analyst,L1,2025-10-07,0.81,1113287,High,EMP1315,0,
EMP1185,Tracy Arnold,HR,Analyst,L3,2025-01-21,1.52,1033278,Average,EMP1301,0,
EMP1186,Melissa Jones,Finance,Consultant,L5,2024-03-14,2.38,791710,Average,EMP1547,0,
EMP1187,Christina Mejia MD,Engineering,Senior Analyst,L3,2024-01-08,2.56,1247798,Average,EMP1953,0,
EMP1188,Martha Johnson,Sales,Analyst,L1,2021-06-27,5.1,575681,High,EMP1715,0,
EMP1189,Justin Garza,Operations,Manager,L2,2025-01-09,1.56,1084780,Average,EMP1933,0,
EMP1190,Dean Morgan,Sales,Senior Manager,L4,2024-03-14,2.38,1077930,Average,EMP1778,0,
EMP1191,Carolyn Torres,Engineering,Analyst,L5,2022-10-26,3.76,807136,Low,EMP1267,0,
EMP1192,Brian Diaz,Operations,Senior Manager,L2,2022-06-05,4.16,997839,Average,EMP1169,0,
EMP1193,Anthony Silva,Finance,Senior Analyst,L4,2022-10-06,3.82,524665,Average,EMP1550,0,
EMP1194,Monique Thomas,Engineering,Senior Analyst,L5,2022-12-11,3.64,1177208,Average,EMP1454,0,
EMP1195,Leslie Miller,Sales,Analyst,L5,2026-02-02,0.49,844529,High,EMP1650,0,
EMP1196,Allison Glover,Consulting,Senior Manager,L1,2025-09-04,0.9,743183,Low,EMP1291,0,
EMP1197,Matthew Rogers,HR,Senior Analyst,L2,2025-04-13,1.3,1214702,Average,EMP1563,0,
EMP1198,David Chavez,Sales,Manager,L5,2023-05-12,3.22,688696,Average,EMP1798,0,
EMP1199,Keith Brown,Operations,Consultant,L5,2019-10-12,6.81,477461,High,EMP1800,0,
EMP1200,Suzanne Sullivan,Engineering,Consultant,L4,2022-11-27,3.68,433011,High,EMP1140,0,
EMP1201,Joanna George,HR,Senior Analyst,L1,2022-10-25,3.77,1081802,Average,EMP1145,0,
EMP1202,Raymond Crawford,Engineering,Senior Manager,L3,2021-07-08,5.07,515871,Average,EMP1424,0,
EMP1203,Michelle Wolfe,Operations,Senior Analyst,L1,2023-08-12,2.97,1426438,Average,EMP1313,0,
EMP1204,Dr. Alexander Watts MD,Engineering,Senior Manager,L3,2025-09-22,0.85,300000,Average,EMP1183,0,
EMP1205,Raymond Smith,Consulting,Manager,L2,2020-04-02,6.33,1408936,High,EMP1663,0,
EMP1206,Evan Brown,HR,Senior Manager,L2,2023-09-04,2.91,963305,Average,EMP1712,0,
EMP1207,Lynn Soto,HR,Senior Analyst,L5,2024-06-15,2.13,870986,Average,EMP1127,0,
EMP1208,Natalie Davis,Operations,Manager,L2,2024-10-10,1.81,736524,Average,EMP1286,0,
EMP1209,Melissa Green,Consulting,Analyst,L5,2026-05-06,0.24,1019740,High,EMP1822,0,
EMP1210,Travis Sherman,Sales,Consultant,L1,2024-08-16,1.96,888709,Average,EMP1252,0,
EMP1211,Joel Casey,Engineering,Senior Analyst,L2,2022-06-04,4.16,1230990,Average,EMP1777,0,
EMP1212,Dawn Hardy,Finance,Senior Analyst,L1,2019-05-10,7.23,934268,Average,EMP1699,0,
EMP1213,Vincent Cunningham,Engineering,Senior Analyst,L1,2021-04-01,5.33,945090,High,EMP1385,0,
EMP1214,Stephen Payne,Engineering,Manager,L2,2023-07-09,3.06,790916,Low,EMP1229,0,
EMP1215,Joshua Smith,Sales,Analyst,L1,2020-02-20,6.45,882916,Average,EMP1270,0,
EMP1216,Paula Riley,Engineering,Senior Manager,L2,2024-07-17,2.04,992340,Low,EMP1770,0,
EMP1217,Amy Wall,Consulting,Analyst,L2,2020-11-07,5.73,386949,Average,EMP1810,0,
EMP1218,Ian Foster,Consulting,Manager,L2,2023-01-01,3.58,495544,Average,EMP1414,1,2023-11-07
EMP1219,Angelica Grant,HR,Senior Analyst,L3,2023-07-29,3.01,1122979,Average,EMP1197,0,
EMP1220,Rebekah Hudson,Operations,Consultant,L1,2021-02-12,5.47,951259,Average,EMP1322,0,
EMP1221,Autumn Snyder,Finance,Senior Analyst,L4,2021-12-27,4.59,844804,Average,EMP1055,0,
EMP1222,Kristen Silva,Engineering,Senior Manager,L2,2024-12-09,1.64,905530,Average,EMP1830,0,
EMP1223,Jason Gibson,Engineering,Consultant,L1,2023-03-06,3.41,1004274,High,EMP1202,0,
EMP1224,Tracy Taylor,Sales,Senior Analyst,L5,2020-04-28,6.26,738072,Average,EMP1782,0,
EMP1225,Alexandra Warren,Operations,Consultant,L2,2020-08-25,5.93,666508,High,EMP1620,0,
EMP1226,Kevin Hansen,Consulting,Analyst,L2,2023-06-21,3.11,958753,Average,EMP1627,0,
EMP1227,Joe Phelps,Finance,Manager,L4,2021-11-07,4.73,606488,Low,EMP1603,0,
EMP1228,Alexis Perry,HR,Senior Analyst,L3,2022-08-05,3.99,1022475,Average,EMP1137,0,
EMP1229,Loretta Cox,Consulting,Senior Manager,L3,2023-01-27,3.51,389224,Average,EMP1421,0,
EMP1230,Kelly Wade,Operations,Analyst,L2,2022-02-02,4.49,1208746,Average,EMP1814,0,
EMP1231,Sarah Sanders,HR,Senior Analyst,L1,2025-12-10,0.64,1041779,Low,EMP1056,1,2026-06-24
EMP1232,John Finley MD,Sales,Analyst,L5,2022-09-10,3.89,976808,Average,EMP1561,0,
EMP1233,Ryan Flynn,Sales,Senior Manager,L5,2018-10-26,7.77,1194807,High,EMP1070,0,
EMP1234,Jose Klein,Engineering,Senior Analyst,L1,2024-11-14,1.71,1399642,Average,EMP1910,0,
EMP1235,Anne Fischer,Operations,Senior Manager,L2,2021-11-22,4.69,1204311,High,EMP1913,1,2022-07-31
EMP1236,David Thompson,Finance,Consultant,L5,2024-11-20,1.69,347737,Average,EMP1593,0,
EMP1237,James Davis,HR,Senior Manager,L3,2023-06-12,3.14,516126,Average,EMP1371,0,
EMP1238,Kelly Larsen,Consulting,Consultant,L1,2019-09-06,6.9,712554,Average,EMP1616,0,
EMP1239,Dylan Brown,Operations,Senior Analyst,L4,2022-10-13,3.8,907827,Average,EMP1599,0,
EMP1240,Shaun Harris,Operations,Consultant,L2,2025-03-17,1.37,1055297,Average,EMP1513,0,
EMP1241,Lawrence Mcdonald,Sales,Senior Analyst,L1,2021-06-13,5.13,682276,Average,EMP1871,0,
EMP1242,Cheryl Sanchez,Engineering,Senior Analyst,L5,2019-09-23,6.86,956030,Low,EMP1083,0,
EMP1243,Travis Walker,Engineering,Manager,L2,2018-11-01,7.75,673385,Average,EMP1993,0,
EMP1244,Carlos Ortiz,HR,Senior Analyst,L3,2019-11-20,6.7,716544,Average,EMP1042,0,
EMP1245,Dennis Deleon,Sales,Consultant,L2,2022-09-05,3.9,478001,High,EMP1665,0,
EMP1246,Stephanie Soto,Operations,Manager,L2,2018-11-12,7.72,623030,High,EMP1838,0,
EMP1247,Isabel Reed,Finance,Manager,L3,2023-04-08,3.32,494494,High,EMP1933,0,
EMP1248,Sheila Green,Sales,Senior Analyst,L3,2021-10-03,4.83,607238,High,EMP1605,0,
EMP1249,Jenna Anderson,HR,Senior Manager,L2,2019-10-18,6.79,1216092,Average,EMP1809,0,
EMP1250,Donald Blevins,HR,Senior Manager,L3,2025-10-04,0.82,615180,Average,EMP1132,0,
EMP1251,Vincent Young,Sales,Manager,L1,2023-09-12,2.88,1689714,High,EMP1394,1,2025-01-01
EMP1252,Amanda Woods,HR,Senior Analyst,L3,2021-04-02,5.33,1047995,Average,EMP1064,0,
EMP1253,Samantha Huang,Sales,Senior Manager,L3,2018-12-17,7.62,955450,Average,EMP1289,0,
EMP1254,Valerie Ramirez,Consulting,Senior Analyst,L2,2020-02-13,6.47,642492,Low,EMP1375,0,
EMP1255,Whitney Lee,Sales,Senior Analyst,L1,2018-10-15,7.8,1110092,Average,EMP1768,0,
EMP1256,Larry Porter,Sales,Manager,L4,2024-09-22,1.85,727308,Average,EMP1466,0,
